carpark_number,update_datetime,total_lots,lot_type,lots_available,data_snapshot_time
PL57,2026-01-01T00:00:07,521,C,235,2026-01-01 00:01
PL57,2026-01-01T00:58:07,521,C,210,2026-01-01 01:00
PL57,2026-01-01T01:58:47,521,C,200,2026-01-01 02:00
PL57,2026-01-01T02:59:08,521,C,193,2026-01-01 03:00
PL57,2026-01-01T03:58:49,521,C,186,2026-01-01 04:00
PL57,2026-01-01T04:59:09,521,C,183,2026-01-01 05:00
PL57,2026-01-01T05:59:09,521,C,184,2026-01-01 06:00
PL57,2026-01-01T06:58:53,521,C,191,2026-01-01 07:00
PL57,2026-01-01T07:59:10,521,C,198,2026-01-01 08:00
PL57,2026-01-01T08:59:10,521,C,196,2026-01-01 09:00
PL57,2026-01-01T09:58:10,521,C,214,2026-01-01 10:00
PL57,2026-01-01T10:59:11,521,C,233,2026-01-01 11:00
PL57,2026-01-01T11:58:11,521,C,257,2026-01-01 12:00
PL57,2026-01-01T12:58:11,521,C,258,2026-01-01 13:00
PL57,2026-01-01T13:59:00,521,C,253,2026-01-01 14:00
PL57,2026-01-01T14:59:12,521,C,260,2026-01-01 15:00
PL57,2026-01-01T15:58:12,521,C,253,2026-01-01 16:00
PL57,2026-01-01T16:59:04,521,C,266,2026-01-01 17:00
PL57,2026-01-01T17:59:13,521,C,273,2026-01-01 18:00
PL57,2026-01-01T18:58:13,521,C,288,2026-01-01 19:00
PL57,2026-01-01T19:58:13,521,C,263,2026-01-01 20:00
PL57,2026-01-01T20:59:14,521,C,238,2026-01-01 21:00
PL57,2026-01-01T21:58:14,521,C,219,2026-01-01 22:00
PL57,2026-01-01T22:58:14,521,C,195,2026-01-01 23:00
PL57,2026-01-02T00:00:15,521,C,188,2026-01-02 00:01
PL57,2026-01-02T00:58:15,521,C,184,2026-01-02 01:00
PL57,2026-01-02T01:58:15,521,C,179,2026-01-02 02:00
PL57,2026-01-02T02:58:15,521,C,187,2026-01-02 03:00
PL57,2026-01-02T03:58:16,521,C,185,2026-01-02 04:00
PL57,2026-01-02T04:59:16,521,C,184,2026-01-02 05:00
PL57,2026-01-02T05:58:17,521,C,190,2026-01-02 06:00
PL57,2026-01-02T06:58:18,521,C,231,2026-01-02 07:00
PL57,2026-01-02T07:59:17,521,C,281,2026-01-02 08:00
PL57,2026-01-02T08:58:20,521,C,307,2026-01-02 09:00
PL57,2026-01-02T09:58:21,521,C,322,2026-01-02 10:00
PL57,2026-01-02T10:59:18,521,C,336,2026-01-02 11:00
PL57,2026-01-02T11:58:23,521,C,343,2026-01-02 12:00
PL57,2026-01-02T12:58:24,521,C,354,2026-01-02 13:00
PL57,2026-01-02T13:58:25,521,C,366,2026-01-02 14:00
